B03, Trade, 85200.962, 105, S19, B03, 1
B03, Trade, 85222.692, 102, B03, S15, 1
B03, Trade, 85230.577, 103, S23, B03, 1
B03, Trade, 85238.596, 107, P01, B03, 1
B03, Trade, 85285.981, 101, S24, B03, 1
B03, Trade, 85287.250, 116, S09, B03, 1
B03, Trade, 85315.808, 106, P01, B03, 1
B03, Trade, 85334.596, 110, S14, B03, 1
B03, Trade, 85346.058, 100, S18, B03, 1
B03, Trade, 85388.115, 104, S05, B03, 1
B03, Trade, 85400.500, 105, S07, B03, 1
B03, Trade, 85441.192, 109, S04, B03, 1
B03, Trade, 85451.962, 114, S12, B03, 1
B03, Trade, 85500.250, 111, S06, B03, 1
B03, Trade, 85526.038, 108, S01, B03, 1
B03, Trade, 85537.096, 106, B03, S17, 1
B03, Trade, 85551.135, 111, S08, B03, 1
B03, Trade, 85553.731, 109, S08, B03, 1
B03, Trade, 85574.404, 113, S11, B03, 1
B03, Trade, 85580.577, 110, S04, B03, 1
B03, Trade, 85596.904, 103, B03, S01, 1
B03, Trade, 85611.192, 104, S13, B03, 1
B03, Trade, 85634.288, 111, B03, S18, 1
B03, Trade, 85669.904, 114, S07, B03, 1
B03, Trade, 85788.538, 107, S03, B03, 1
B03, Trade, 85793.673, 109, S11, B03, 1
B03, Trade, 85803.423, 111, S19, B03, 1
B03, Trade, 85821.981, 101, B03, S10, 1
B03, Trade, 85843.808, 111, B03, S20, 1
B03, Trade, 85864.250, 111, P01, B03, 1
B03, Trade, 85885.308, 108, S03, B03, 1
B03, Trade, 85915.558, 102, S19, B03, 1
B03, Trade, 85929.962, 104, S19, B03, 1
B03, Trade, 85945.596, 112, S09, B03, 1
B03, Trade, 85992.096, 111, B03, S20, 1
B03, Trade, 86045.385, 110, S04, B03, 1
B03, Trade, 86057.442, 111, S03, B03, 1
B03, Trade, 86111.327, 115, S01, B03, 1
B03, Trade, 86130.327, 110, S03, B03, 1
B03, Trade, 86174.096, 104, S09, B03, 1
B03, Trade, 86181.442, 112, S06, B03, 1
B03, Trade, 86202.788, 106, B03, S23, 1
B03, Trade, 86206.615, 106, S01, B03, 1
B03, Trade, 86238.904, 113, B03, S17, 1
B03, Trade, 86292.962, 108, S07, B03, 1
B03, Trade, 86317.327, 112, P01, B03, 1
B03, Trade, 86373.423, 122, B03, S10, 1
B03, Trade, 86385.192, 112, S17, B03, 1
B04, 100
B04, Trade, 85097.731, 96, B04, S23, 1
B04, Trade, 85101.269, 100, P01, B04, 1
B04, Trade, 85109.635, 95, S08, B04, 1
B04, Trade, 85116.923, 100, S09, B04, 1
B04, Trade, 85138.269, 101, B04, S06, 1
B04, Trade, 85148.000, 103, S08, B04, 1
B04, Trade, 85157.788, 100, B04, S03, 1
B04, Trade, 85175.904, 98, B04, S22, 1
B04, Trade, 85180.192, 106, B04, S05, 1
B04, Trade, 85191.923, 104, S13, B04, 1
B04, Trade, 85207.288, 107, B04, S03, 1
B04, Trade, 85223.019, 101, B04, S10, 1
B04, Trade, 85232.673, 100, B04, S00, 1
B04, Trade, 85246.885, 108, B04, S03, 1
B04, Trade, 85264.058, 108, S19, B04, 1
B04, Trade, 85289.077, 102, B04, S09, 1
B04, Trade, 85303.000, 105, B04, S03, 1
B04, Trade, 85312.019, 102, B04, S18, 1
B04, Trade, 85315.481, 103, S01, B04, 1
B04, Trade, 85337.558, 111, S09, B04, 1
B04, Trade, 85353.115, 99, B04, S17, 1
B04, Trade, 85377.981, 111, S22, B04, 1
B04, Trade, 85386.788, 101, B04, S13, 1
B04, Trade, 85410.231, 103, S23, B04, 1
B04, Trade, 85424.365, 105, B04, S12, 1
B04, Trade, 85430.423, 106, S18, B04, 1
B04, Trade, 85452.038, 104, B04, S10, 1
B04, Trade, 85464.058, 110, B04, S09, 1
B04, Trade, 85466.096, 106, S08, B04, 1
B04, Trade, 85483.192, 100, B04, S02, 1
B04, Trade, 85484.712, 100, S03, B04, 1
B04, Trade, 85503.058, 106, B04, S05, 1
B04, Trade, 85511.712, 104, B04, S04, 1
B04, Trade, 85532.962, 103, S04, B04, 1
B04, Trade, 85539.519, 113, S07, B04, 1
B04, Trade, 85556.692, 106, B04, S14, 1
B04, Trade, 85571.135, 119, B04, S14, 1
B04, Trade, 85584.000, 108, B04, S12, 1
B04, Trade, 85600.058, 108, S17, B04, 1
B04, Trade, 85613.962, 106, B04, S07, 1
B04, Trade, 85619.212, 108, B04, S17, 1
B04, Trade, 85625.327, 109, B04, S12, 1
B04, Trade, 85645.538, 106, S20, B04, 1
B04, Trade, 85666.750, 105, B04, S17, 1
B04, Trade, 85674.154, 104, S20, B04, 1
B04, Trade, 85682.962, 104, S23, B04, 1
B04, Trade, 85704.077, 109, S20, B04, 1
B04, Trade, 85715.885, 100, B04, S13, 1
B04, Trade, 85723.308, 95, S15, B04, 1
B04, Trade, 85744.654, 106, S12, B04, 1
B04, Trade, 85763.577, 102, B04, S18, 1
B04, Trade, 85781.212, 108, S17, B04, 1
B04, Trade, 85791.654, 110, B04, S10, 1
B04, Trade, 85801.942, 109, B04, S22, 1
B04, Trade, 85810.000, 113, S08, B04, 1
B04, Trade, 85825.404, 111, S11, B04, 1
B04, Trade, 85839.635, 114, B04, S20, 1
B04, Trade, 85851.654, 105, B04, S04, 1
B04, Trade, 85864.654, 107, B04, S15, 1
B04, Trade, 85874.769, 112, S17, B04, 1
B04, Trade, 85893.212, 113, B04, S17, 1
B04, Trade, 85902.962, 107, B04, S12, 1
B04, Trade, 85908.750, 104, B04, S07, 1
B04, Trade, 85928.962, 106, S06, B04, 1
B04, Trade, 85941.346, 108, B04, S07, 1
B04, Trade, 85953.615, 111, S08, B04, 1
B04, Trade, 85958.827, 117, S07, B04, 1
B04, Trade, 85968.577, 96, S09, B04, 1
B04, Trade, 85978.346, 105, B04, S19, 1
B04, Trade, 85988.000, 112, B04, S23, 1
B04, Trade, 85997.558, 112, S07, B04, 1
B04, Trade, 86011.096, 109, B04, S13, 1
B04, Trade, 86042.577, 109, S20, B04, 1
B04, Trade, 86071.923, 106, B04, S06, 1
B04, Trade, 86082.808, 107, B04, S22, 1
B04, Trade, 86089.769, 113, S04, B04, 1
B04, Trade, 86113.942, 107, B04, S07, 1
B04, Trade, 86121.846, 115, S04, B04, 1
B04, Trade, 86130.885, 105, B04, S02, 1
B04, Trade, 86143.481, 107, P01, B04, 1
B04, Trade, 86164.923, 116, S22, B04, 1
B04, Trade, 86165.038, 116, S06, B04, 1
B04, Trade, 86185.808, 111, B04, S18, 1
B04, Trade, 86196.692, 109, B04, S15, 1
B04, Trade, 86203.404, 108, S19, B04, 1
B04, Trade, 86206.865, 108, S09, B04, 1
B04, Trade, 86224.365, 117, S22, B04, 1
B04, Trade, 86240.269, 116, S04, B04, 1
B04, Trade, 86253.635, 107, S23, B04, 1
B04, Trade, 86267.885, 107, B04, S00, 1
B04, Trade, 86271.904, 109, S01, B04, 1
B04, Trade, 86283.077, 105, B04, S06, 1
B04, Trade, 86285.250, 113, S23, B04, 1
B04, Trade, 86309.423, 111, B04, S18, 1
B04, Trade, 86326.788, 110, S16, B04, 1
B04, Trade, 86342.135, 106, B04, S17, 1
B04, Trade, 86350.269, 114, S18, B04, 1
B04, Trade, 86362.654, 112, B04, S09, 1
B04, Trade, 86379.173, 113, S07, B04, 1
B04, Trade, 86389.019, 111, B04, S00, 1
B05, 100
B05, Trade, 85102.442, 100, B05, S19, 1
B05, Trade, 85119.385, 101, B05, P01, 1
B05, Trade, 85122.365, 101, S20, B05, 1
B05, Trade, 85142.115, 97, B05, S00, 1
B05, Trade, 85148.635, 100, B05, S10, 1
B05, Trade, 85156.288, 106, S04, B05, 1
B05, Trade, 85176.808, 95, B05, S23, 1
B05, Trade, 85191.404, 105, S10, B05, 1
B05, Trade, 85207.846, 109, S04, B05, 1
B05, Trade, 85224.231, 100, B05, S00, 1
B05, Trade, 85231.423, 100, B05, S05, 1
B05, Trade, 85240.346, 110, S01, B05, 1
B05, Trade, 85250.308, 107, B05, S20, 1
B05, Trade, 85265.692, 107, B05, S06, 1
B05, Trade, 85272.096, 112, B05, S13, 1
B05, Trade, 85275.423, 107, S19, B05, 1
B05, Trade, 85282.096, 110, S11, B05, 1
B05, Trade, 85298.135, 107, B05, S15, 1
B05, Trade, 85317.712, 108, S22, B05, 1
B05, Trade, 85335.423, 108, B05, S12, 1
B05, Trade, 85337.904, 101, B05, S20, 1
B05, Trade, 85354.096, 100, B05, S01, 1
B05, Trade, 85361.519, 108, S12, B05, 1
B05, Trade, 85373.538, 108, S07, B05, 1
B05, Trade, 85399.154, 112, S01, B05, 1
B05, Trade, 85416.442, 108, S24, B05, 1
B05, Trade, 85432.846, 104, B05, S07, 1
B05, Trade, 85436.846, 109, S11, B05, 1
B05, Trade, 85451.519, 107, B05, S16, 1
B05, Trade, 85464.269, 107, B05, S05, 1
B05, Trade, 85488.038, 102, S17, B05, 1
B05, Trade, 85504.385, 109, B05, S18, 1
B05, Trade, 85517.346, 103, B05, S16, 1
B05, Trade, 85528.885, 104, B05, S10, 1
B05, Trade, 85537.962, 114, B05, S11, 1
B05, Trade, 85544.654, 105, B05, S13, 1
B05, Trade, 85563.192, 101, B05, S18, 1
B05, Trade, 85564.288, 110, P01, B05, 1
B05, Trade, 85590.904, 116, S10, B05, 1
B05, Trade, 85612.077, 105, S19, B05, 1
B05, Trade, 85626.673, 117, P01, B05, 1
B05, Trade, 85636.212, 105, B05, S04, 1
B05, Trade, 85643.654, 108, S01, B05, 1
B05, Trade, 85660.462, 108, B05, S02, 1
B05, Trade, 85666.250, 105, B05, S03, 1
B05, Trade, 85679.577, 109, S24, B05, 1
