B04, Trade, 86128.115, 154, B04, S05, 1
B04, Trade, 86145.115, 156, B04, S17, 1
B04, Trade, 86155.904, 148, B04, S07, 1
B04, Trade, 86172.519, 152, B04, S13, 1
B04, Trade, 86177.327, 159, B04, S06, 1
B04, Trade, 86189.385, 153, P01, B04, 1
B04, Trade, 86198.212, 153, B04, S18, 1
B04, Trade, 86216.115, 156, B04, S24, 1
B04, Trade, 86221.327, 149, S22, B04, 1
B04, Trade, 86232.385, 151, B04, S11, 1
B04, Trade, 86242.942, 153, B04, S09, 1
B04, Trade, 86245.462, 155, B04, S04, 1
B04, Trade, 86256.808, 150, B04, S05, 1
B04, Trade, 86268.904, 147, S15, B04, 1
B04, Trade, 86277.673, 154, S12, B04, 1
B04, Trade, 86292.558, 153, B04, S19, 1
B04, Trade, 86303.654, 158, B04, S23, 1
B04, Trade, 86317.519, 148, B04, S18, 1
B04, Trade, 86324.308, 150, B04, S00, 1
B04, Trade, 86328.462, 150, B04, S21, 1
B04, Trade, 86344.577, 152, B04, S21, 1
B04, Trade, 86352.365, 153, B04, S17, 1
B04, Trade, 86364.538, 151, B04, S12, 1
B04, Trade, 86367.750, 156, B04, S14, 1
B04, Trade, 86383.115, 151, B04, S02, 1
B04, Trade, 86390.365, 158, B04, S22, 1
B05, 100
B05, Trade, 85005.981, 151, S19, B05, 1
B05, Trade, 85021.827, 158, B05, S02, 1
B05, Trade, 85028.385, 157, S11, B05, 1
B05, Trade, 85036.635, 155, B05, S02, 1
B05, Trade, 85056.865, 148, B05, S17, 1
B05, Trade, 85083.212, 164, S03, B05, 1
B05, Trade, 85091.962, 158, P01, B05, 1
B05, Trade, 85103.308, 155, B05, P01, 1
B05, Trade, 85120.846, 157, B05, S12, 1
B05, Trade, 85141.673, 156, S20, B05, 1
B05, Trade, 85157.077, 158, S20, B05, 1
B05, Trade, 85174.673, 150, B05, S15, 1
B05, Trade, 85177.942, 152, S13, B05, 1
B05, Trade, 85194.327, 160, S22, B05, 1
B05, Trade, 85211.942, 152, B05, S02, 1
B05, Trade, 85216.269, 158, S03, B05, 1
B05, Trade, 85234.981, 154, P01, B05, 1
B05, Trade, 85246.288, 159, S15, B05, 1
B05, Trade, 85263.058, 152, S13, B05, 1
B05, Trade, 85296.731, 155, S23, B05, 1
B05, Trade, 85321.096, 155, B05, S18, 1
B05, Trade, 85335.750, 146, B05, S12, 1
B05, Trade, 85337.173, 148, S02, B05, 1
B05, Trade, 85346.481, 162, B05, S11, 1
B05, Trade, 85373.462, 156, S15, B05, 1
B05, Trade, 85384.692, 151, B05, S21, 1
B05, Trade, 85396.077, 157, P01, B05, 1
B05, Trade, 85404.692, 157, S15, B05, 1
B05, Trade, 85413.231, 154, B05, S08, 1
B05, Trade, 85443.538, 158, B05, S07, 1
B05, Trade, 85469.346, 154, B05, S06, 1
B05, Trade, 85472.019, 157, S22, B05, 1
B05, Trade, 85493.538, 152, B05, S10, 1
B05, Trade, 85504.212, 145, B05, S05, 1
B05, Trade, 85510.962, 152, B05, S12, 1
B05, Trade, 85528.288, 156, B05, S17, 1
B05, Trade, 85536.058, 157, B05, S21, 1
B05, Trade, 85536.404, 160, S08, B05, 1
B05, Trade, 85566.923, 152, B05, S00, 1
B05, Trade, 85582.327, 156, S05, B05, 1
B05, Trade, 85598.750, 152, B05, S21, 1
B05, Trade, 85602.808, 153, S08, B05, 1
B05, Trade, 85627.481, 157, S01, B05, 1
B05, Trade, 85645.250, 152, B05, S06, 1
B05, Trade, 85650.038, 159, S08, B05, 1
B05, Trade, 85672.250, 155, S04, B05, 1
B05, Trade, 85676.000, 156, S18, B05, 1
B05, Trade, 85694.327, 150, B05, S17, 1
B05, Trade, 85699.615, 159, S18, B05, 1
B05, Trade, 85715.423, 152, B05, S21, 1
B05, Trade, 85720.558, 147, B05, S10, 1
B05, Trade, 85732.000, 159, P01, B05, 1
B05, Trade, 85741.096, 157, B05, S09, 1
B05, Trade, 85747.615, 153, B05, S16, 1
B05, Trade, 85762.673, 156, B05, S00, 1
B05, Trade, 85780.000, 154, B05, S23, 1
B05, Trade, 85792.462, 151, S08, B05, 1
B05, Trade, 85797.788, 158, S05, B05, 1
