B02, Trade, 86183.346, 133, S10, B02, 1
B02, Trade, 86197.923, 126, B02, S12, 1
B02, Trade, 86202.942, 131, P00, B02, 1
B02, Trade, 86222.942, 140, S11, B02, 1
B02, Trade, 86234.115, 129, B02, S20, 1
B02, Trade, 86252.500, 131, B02, S06, 1
B02, Trade, 86254.212, 131, B02, S07, 1
B02, Trade, 86261.077, 130, B02, S10, 1
B02, Trade, 86268.904, 134, S11, B02, 1
B02, Trade, 86284.231, 125, B02, S13, 1
B02, Trade, 86305.654, 132, S09, B02, 1
B02, Trade, 86326.038, 131, S17, B02, 1
B02, Trade, 86344.404, 132, S04, B02, 1
B02, Trade, 86399.846, 122, B02, S22, 1
B03, 100
B03, Trade, 85157.596, 127, B03, S20, 1
B03, Trade, 85164.692, 131, B03, S24, 1
B03, Trade, 85176.788, 129, B03, S12, 1
B03, Trade, 85187.500, 127, B03, S13, 1
B03, Trade, 85199.577, 131, S24, B03, 1
B03, Trade, 85202.308, 132, B03, S07, 1
B03, Trade, 85223.538, 124, B03, S19, 1
B03, Trade, 85240.058, 130, B03, S02, 1
B03, Trade, 85244.404, 131, B03, S12, 1
B03, Trade, 85258.500, 130, B03, S17, 1
B03, Trade, 85274.731, 128, B03, S21, 1
B03, Trade, 85285.788, 130, B03, S07, 1
B03, Trade, 85288.481, 131, B03, S06, 1
B03, Trade, 85301.058, 127, S13, B03, 1
B03, Trade, 85310.019, 133, B03, S01, 1
B03, Trade, 85321.673, 131, P00, B03, 1
B03, Trade, 85326.981, 129, S04, B03, 1
B03, Trade, 85348.769, 126, S03, B03, 1
B03, Trade, 85360.673, 127, B03, S03, 1
B03, Trade, 85371.115, 133, B03, S23, 1
B03, Trade, 85382.481, 132, B03, S14, 1
B03, Trade, 85393.942, 133, S17, B03, 1
B03, Trade, 85417.923, 132, S15, B03, 1
B03, Trade, 85428.327, 129, S06, B03, 1
B03, Trade, 85443.942, 129, B03, S23, 1
B03, Trade, 85477.635, 134, S02, B03, 1
B03, Trade, 85483.827, 131, B03, S05, 1
B03, Trade, 85496.019, 128, S09, B03, 1
B03, Trade, 85510.327, 134, B03, S03, 1
B03, Trade, 85530.019, 129, B03, S24, 1
B03, Trade, 85538.519, 126, B03, S17, 1
B03, Trade, 85551.635, 127, B03, S05, 1
B03, Trade, 85559.115, 129, B03, S22, 1
B03, Trade, 85567.192, 129, B03, S10, 1
B03, Trade, 85573.019, 130, B03, S09, 1
B03, Trade, 85597.231, 125, B03, S20, 1
B03, Trade, 85618.904, 126, S18, B03, 1
B03, Trade, 85628.538, 132, B03, S17, 1
B03, Trade, 85638.269, 131, S06, B03, 1
B03, Trade, 85668.846, 127, B03, S19, 1
B03, Trade, 85679.038, 125, B03, S20, 1
B03, Trade, 85692.615, 134, B03, S13, 1
B03, Trade, 85695.115, 134, B03, S22, 1
B03, Trade, 85706.942, 129, B03, S18, 1
B03, Trade, 85716.308, 134, B03, S22, 1
B03, Trade, 85732.462, 131, S23, B03, 1
B03, Trade, 85745.750, 125, B03, S10, 1
B03, Trade, 85748.692, 127, B03, S12, 1
B03, Trade, 85756.000, 131, B03, S20, 1
B03, Trade, 85781.712, 128, B03, S24, 1
B03, Trade, 85802.346, 129, B03, S07, 1
B03, Trade, 85807.269, 121, B03, S18, 1
B03, Trade, 85815.462, 123, B03, S02, 1
B03, Trade, 85827.365, 131, S21, B03, 1
B03, Trade, 85842.058, 129, B03, S11, 1
B03, Trade, 85851.192, 131, B03, S22, 1
B03, Trade, 85864.077, 124, S10, B03, 1
B03, Trade, 85871.231, 134, B03, S01, 1
B03, Trade, 85876.115, 125, B03, S21, 1
B03, Trade, 85898.000, 124, B03, S24, 1
B03, Trade, 85908.404, 122, B03, S18, 1
B03, Trade, 85926.308, 131, B03, S12, 1
B03, Trade, 85934.058, 127, B03, S19, 1
B03, Trade, 85952.288, 134, B03, S07, 1
B03, Trade, 85974.692, 127, B03, S24, 1
B03, Trade, 85983.365, 131, B03, S01, 1
B03, Trade, 85992.038, 131, B03, S14, 1
B03, Trade, 85997.538, 131, B03, S19, 1
B03, Trade, 86008.000, 129, B03, S03, 1
B03, Trade, 86022.769, 121, B03, S07, 1
B03, Trade, 86032.212, 124, B03, S05, 1
B03, Trade, 86043.750, 123, B03, S15, 1
B03, Trade, 86058.885, 132, B03, S23, 1
B03, Trade, 86083.385, 128, B03, P00, 1
B03, Trade, 86098.038, 132, S06, B03, 1
B03, Trade, 86114.885, 132, B03, S03, 1
B03, Trade, 86122.019, 123, B03, S12, 1
B03, Trade, 86128.212, 132, S17, B03, 1
B03, Trade, 86140.904, 127, B03, S22, 1
B03, Trade, 86152.981, 127, B03, S20, 1
B03, Trade, 86163.865, 131, B03, S14, 1
B03, Trade, 86167.615, 130, S16, B03, 1
B03, Trade, 86185.173, 122, B03, S02, 1
B03, Trade, 86198.308, 126, B03, S03, 1
B03, Trade, 86219.596, 130, S03, B03, 1
B03, Trade, 86232.865, 127, B03, S24, 1
B03, Trade, 86240.038, 131, S05, B03, 1
B03, Trade, 86258.635, 130, B03, S00, 1
B03, Trade, 86263.096, 129, B03, S15, 1
B03, Trade, 86278.538, 123, B03, S19, 1
