B04, Trade, 85550.423, 165, B04, S01, 1
B04, Trade, 85555.750, 171, S00, B04, 1
B04, Trade, 85566.519, 166, B04, S24, 1
B04, Trade, 85586.442, 158, B04, S17, 1
B04, Trade, 85602.019, 169, B04, S04, 1
B04, Trade, 85610.288, 167, B04, S13, 1
B04, Trade, 85622.327, 164, B04, S05, 1
B04, Trade, 85633.962, 166, B04, S05, 1
B04, Trade, 85643.135, 170, S13, B04, 1
B04, Trade, 85652.827, 166, B04, S20, 1
B04, Trade, 85655.346, 167, S18, B04, 1
B04, Trade, 85667.500, 164, B04, S11, 1
B04, Trade, 85679.558, 160, B04, S22, 1
B04, Trade, 85690.712, 169, S15, B04, 1
B04, Trade, 85701.596, 164, B04, S05, 1
B04, Trade, 85705.173, 166, S16, B04, 1
B04, Trade, 85729.692, 165, B04, S13, 1
B04, Trade, 85738.885, 166, S14, B04, 1
B04, Trade, 85752.750, 168, S11, B04, 1
B04, Trade, 85760.000, 163, B04, S04, 1
B04, Trade, 85764.404, 165, S17, B04, 1
B04, Trade, 85783.288, 166, S17, B04, 1
B04, Trade, 85795.481, 162, S16, B04, 1
B04, Trade, 85808.885, 174, S08, B04, 1
B04, Trade, 85819.519, 163, B04, S03, 1
B04, Trade, 85826.827, 161, B04, S05, 1
B04, Trade, 85845.404, 165, B04, S20, 1
B04, Trade, 85863.250, 163, B04, S00, 1
B04, Trade, 85867.212, 161, S02, B04, 1
B04, Trade, 85884.077, 166, S18, B04, 1
B04, Trade, 85897.942, 163, S20, B04, 1
B04, Trade, 85918.808, 165, S13, B04, 1
B04, Trade, 85925.904, 164, S15, B04, 1
B04, Trade, 85945.462, 164, B04, S02, 1
B04, Trade, 85953.596, 168, S16, B04, 1
B04, Trade, 85962.308, 166, B04, S11, 1
B04, Trade, 85982.731, 165, B04, S20, 1
B04, Trade, 85992.885, 170, S00, B04, 1
B04, Trade, 86009.173, 161, S11, B04, 1
B04, Trade, 86026.308, 174, S15, B04, 1
B04, Trade, 86049.269, 164, S17, B04, 1
B04, Trade, 86065.654, 167, S15, B04, 1
B04, Trade, 86070.442, 170, S18, B04, 1
B04, Trade, 86090.404, 162, B04, S13, 1
B04, Trade, 86101.038, 164, B04, S03, 1
B04, Trade, 86103.673, 165, S01, B04, 1
B04, Trade, 86119.750, 168, S16, B04, 1
B04, Trade, 86143.942, 175, S07, B04, 1
B04, Trade, 86158.000, 167, B04, S23, 1
B04, Trade, 86167.000, 169, P01, B04, 1
B04, Trade, 86191.096, 164, B04, S13, 1
B04, Trade, 86204.558, 171, B04, S24, 1
B04, Trade, 86224.327, 166, B04, S02, 1
B04, Trade, 86235.615, 167, S17, B04, 1
B04, Trade, 86260.115, 168, B04, S01, 1
B04, Trade, 86274.962, 177, S08, B04, 1
B04, Trade, 86284.692, 171, S08, B04, 1
B04, Trade, 86312.404, 171, S14, B04, 1
B04, Trade, 86327.288, 167, B04, S18, 1
B04, Trade, 86333.750, 181, B04, S22, 1
